regulator 	 regulated 	 sign
cynr	cynx	+	strong
mata	tcyj	-	strong
chbr	chbf	-	strong
oxyr	flu	-	strong
crp	mtlr	+	strong
fis	thru	+	strong
fis	gltt	+	strong
h-ns	bglg	-	strong
lrp	micf	-	strong
ihf	nirb	+	strong
crp	gltb	-	strong
cbl	ssuc	+	strong
exur	lgor	-	strong
fur	ftna	+	strong
hipab	hipa	-	strong
murr	murp	-	strong
yefm-yoeb	yoeb	-	strong
mqsa	csge	-	strong
narl	nrfd	+	strong
ihf	psts	+	strong
soxs	inaa	+	strong
fis	alau	+	strong
cysb	ssud	-	strong
phob	yhjc	+	strong
ihf	nuom	-	strong
fis	nuof	+	strong
ihf	sufd	+	strong
narl	pflb	-	strong
yqhc	dkga	+	strong
oxyr	sufa	+	strong
oxyr	katg	+	strong
crp	lsrf	+	strong
crp	flhd	+	strong
glrr	rpoe	+	strong
ada	alkb	+	strong
ihf	norw	-	strong
relb	rele	-	strong
ihf	pstc	+	strong
lrp	fima	+	strong
fnr	grca	-	strong
crp	sgbh	+	strong
h-ns	fima	+	strong
ihf	csgd	+	strong
metj	metc	-	strong
phop	gadw	+	strong
soxs	ybjc	+	strong
ihf	ilvl	-	strong
lrp	dadx	-	strong
cpxr	baes	+	strong
rob	marb	+	strong
oxyr	fur	+	strong
oxyr	nfsa	-	strong
dinj-yafq	yafq	-	strong
h-ns	nirc	-	strong
pgrr	ymjc	-	strong
puur	puud	-	strong
crp	nank	+	strong
lrp	oppd	-	strong
h-ns	casa	-	strong
fis	nrfe	-	strong
nhar	pgab	+	strong
zur	znuc	-	strong
fur	gspk	-	strong
trpr	trpe	-	strong
iscr	erpa	-	strong
iscr	iscs	-	strong
gade	gltb	+	strong
cpxr	tsr	-	strong
gadx	btub	-	strong
mara	soda	+	strong
fnr	cysg	+	strong
rob	acra	+	strong
fis	nuob	+	strong
cra	fbaa	-	strong
lexa	ptra	-	strong
lsrr	lsrb	-	strong
galr	galt	-	strong
ydeo	appb	+	strong
crp	gntt	+	strong
lexa	dinf	-	strong
crp	fadl	+	strong
narl	nrfc	+	strong
flhdc	sroc	+	strong
cpxr	mdtc	+	strong
nikr	nika	-	strong
soxs	ptsg	+	strong
nagc	glmu	-	strong
ydeo	gade	+	strong
h-ns	evga	-	strong
pdhr	cyod	-	strong
iclr	aceb	-	strong
ihf	dmsb	-	strong
cpxr	chea	-	strong
crp	pnp	-	strong
flhdc	flgi	+	strong
bira	biof	-	strong
h-ns	fime	-	strong
h-ns	rcsb	-	strong
iscr	napg	-	strong
agar	agav	-	strong
flhdc	flgc	+	strong
bira	biob	-	strong
soxs	flda	+	strong
oxyr	isrc	-	strong
phop	hdea	+	strong
mlra	csgf	+	strong
oxyr	ahpf	+	strong
ypdb	yhjx	+	strong
ihf	psta	+	strong
cysb	cysm	+	strong
cbl	ssua	+	strong
fis	bglg	-	strong
rcsb	rsec	+	strong
yefm	yoeb	-	strong
lsrr	tam	-	strong
crp	paaj	+	strong
ydeo	gadw	+	strong
rsta	csgd	-	strong
h-ns	ydeo	-	strong
yedw	yedx	+	strong
gade	rcsa	+	strong
arac	arab	+	strong
evga	gadf	+	strong
glpr	glpq	-	strong
ihf	dmsa	-	strong
fliz	gadf	-	strong
cpxr	mota	-	strong
dpia	mdh	+	strong
mlc	ptsi	-	strong
fur	gspd	-	strong
phob	phni	+	strong
iscr	hyaa	-	strong
crp	glpr	+	strong
cpxr	yebe	+	strong
ular	ulac	-	strong
lsrr	lsrc	-	strong
lrp	rrsc	-	strong
ihf	nuof	-	strong
fur	gspf	-	strong
cynr	cynr	-	strong
zur	znub	-	strong
fhla	hych	+	strong
flhdc	flgh	+	strong
cpxr	dgcz	+	strong
agar	agar	-	strong
h-ns	ssrs	-	strong
mara	pura	-	strong
csgd	flig	-	strong
purr	pura	-	strong
narl	dcus	-	strong
rob	micf	+	strong
rcsb	rsea	+	strong
crp	glpg	+	strong
rcsab	flhd	-	strong
mara	rimk	+	strong
phop	naga	+	strong
leuo	yjjq	+	strong
phob	cusb	+	strong
fis	prop	+	strong
argp	dnan	+	strong
phop	hded	+	strong
cpxr	cyar	-	strong
arca	suca	+	strong
nikr	nikc	-	strong
crp	yiaj	-	strong
trpr	trpb	-	strong
cecr	ybhr	-	strong
ihf	ihfa	-	strong
phob	phnk	+	strong
fnr	hcr	+	strong
cpxr	cpxp	+	strong
caif	cait	+	strong
crp	ascb	+	strong
ydeo	mdte	+	strong
cpxr	ldtc	+	strong
fis	rrsh	+	strong
lrp	cada	+	strong
crp	lsrc	+	strong
dnaa	yfae	+	strong
fis	rrfh	+	strong
narl	ydht	-	strong
iscr	napd	-	strong
gade-rcsb	dctr	+	strong
ihf	glnp	+	strong
crp	paaz	+	strong
uxur	gntp	-	strong
cusr	cusr	+	strong
ihf	cysg	+	strong
arac	arad	+	strong
ihf	nrfa	-	strong
crp	infb	-	strong
cspa	hns	+	strong
ydeo	hyab	+	strong
mode	deoc	-	strong
crp	bhsa	-	strong
mara	hdea	-	strong
trpr	trpc	-	strong
mcbr	ycif	+	strong
arca	gadf	+	strong
oxyr	hcr	+	strong
dcur	dcta	+	strong
soxs	acrb	+	strong
fis	nuoh	+	strong
ada	alka	+	strong
crp	paae	+	strong
torr	tnaa	+	strong
lexa	umuc	-	strong
oxyr	sufc	+	strong
crp	lsrb	+	strong
hu	gale	-	strong
ihf	glpq	-	strong
fur	fhua	-	strong
crp	ilvb	+	strong
h-ns	lacz	-	strong
fur	gspl	-	strong
mode	narx	+	strong
csgd	wrba	+	strong
ihf	hycf	+	strong
mara	ybjc	+	strong
ihf	cysj	+	strong
mata	fliz	-	strong
flhdc	tcyj	+	strong
crp	guaa	+	strong
fur	crl	-	strong
fis	nrda	+	strong
soxs	zwf	+	strong
fnr	ydhw	+	strong
argr	gltf	-	strong
h-ns	cas1	-	strong
nanr	nana	-	strong
cysb	cysw	+	strong
flhdc	flgg	+	strong
soxr	fumc	+	strong
gade	mdte	+	strong
crp	arad	+	strong
lrha	fime	+	strong
h-ns	lacy	-	strong
ada	ada	+	strong
nanr	nans	-	strong
fis	hupa	+	strong
arca	sucb	+	strong
mode	hycg	+	strong
higa	higb	-	strong
cpxr	chew	-	strong
arca	moea	+	strong
mata	ecpr	+	strong
soxs	rimk	+	strong
ihf	pstb	+	strong
bira	bioa	-	strong
fadr	fabg	+	strong
dcur	frda	+	strong
fnr	hcp	+	strong
cytr	ppia	-	strong
fhla	hycf	+	strong
uxur	uxub	-	strong
crp	nant	+	strong
ompr	pgac	-	strong
mode	moda	-	strong
argp	dapd	+	strong
ihf	ilva	+	strong
arac	ygea	+	strong
h-ns	gspa	-	strong
uxur	uxua	-	strong
rcda	sula	-	strong
argp	nrdb	+	strong
crp	hpt	+	strong
crp	gltd	-	strong
cuer	cueo	+	strong
fur	gspm	-	strong
iscr	hyaf	-	strong
uvry	csrc	+	strong
ihf	paag	+	strong
mpra	emrb	-	strong
leuo	cas1	+	strong
bira	bioc	-	strong
fis	nrfg	-	strong
fis	hupb	-	strong
ihf	yjbf	+	strong
fliz	pder	-	strong
tyrr	yaia	-	strong
oxyr	sufb	+	strong
h-ns	cadc	-	strong
sdia	ftsa	-	strong
fis	cbpm	-	strong
ihf	prow	+	strong
rclr	rclb	+	strong
ihf	phou	+	strong
crp	cytr	+	strong
fnr	prmc	-	strong
crp	paaa	+	strong
nanr	nanm	-	strong
phop	iram	+	strong
dnaa	pola	+	strong
lexa	lexa	-	strong
crp	glpe	+	strong
mata	flhc	-	strong
ular	ulaa	-	strong
iscr	napc	-	strong
crp	yiak	+	strong
csgd	flie	-	strong
flhdc	flgk	+	strong
rcsb	gada	-	strong
mode	deod	-	strong
glpr	glpc	-	strong
pepa	pepa	-	strong
cysb	tauc	+	strong
mara	acna	+	strong
higb-higa	higa	-	strong
cra	crp	+	strong
dcur	frdb	+	strong
rutr	gadx	-	strong
soxs	waaz	+	strong
sgrr	seta	+	strong
mode	ccmd	+	strong
cra	hypf	-	strong
comr	bhsa	-	strong
gadx	gadc	+	strong
mara	pqia	+	strong
h-ns	gadf	-	strong
glpr	glpa	-	strong
csgd	flgn	-	strong
mlra	yhbe	+	strong
ihf	ssub	+	strong
h-ns	fau	-	strong
ihf	ilvg_2	-	strong
fur	sufc	-	strong
flhdc	gltk	+	strong
iscr	sufd	+	strong
cpxr	mara	+	strong
h-ns	casd	-	strong
fnr	prfa	-	strong
chbr	chba	+	strong
mlra	ibag	+	strong
fis	mazf	+	strong
flhdc	flil	+	strong
hdfr	flhc	-	strong
iscr	napf	-	strong
ihf	nrfb	-	strong
soxs	uof	+	strong
fis	bglb	-	strong
crp	lacz	+	strong
fis	rrlb	+	strong
h-ns	hdea	-	strong
caif	fixa	+	strong
crp	araf	+	strong
glpr	glpf	-	strong
trer	trec	-	strong
crp	rbfa	-	strong
ntrc	glng	+	strong
cpxr	dsba	+	strong
cra	pfka	-	strong
melr	mela	-	strong
argp	recf	+	strong
crp	case	-	strong
fis	tyru	+	strong
cbl	ssub	+	strong
nhar	pgad	+	strong
tyrr	arog	-	strong
arca	ptsg	-	strong
phop	mgta	+	strong
h-ns	yjjp	-	strong
arca	hyab	+	strong
ihf	yjbe	+	strong
rob	marr	+	strong
crp	cspe	+	strong
basr	dgka	+	strong
tyrr	arol	-	strong
ydeo	gadf	+	strong
fis	rrfe	+	strong
fhla	hypf	+	strong
dnaa	nrdb	+	strong
crp	paaf	+	strong
dpia	citg	+	strong
crp	nane	+	strong
sgrr	sroa	-	strong
rcda	csgd	+	strong
acrr	soxs	-	strong
nagc	naga	-	strong
cpxr	marr	+	strong
h-ns	gale	-	strong
mode	dmsc	-	strong
ihf	nuon	-	strong
fis	rrlg	+	strong
h-ns	hcha	-	strong
dnaa	alda	-	strong
rcsb	rseb	+	strong
fis	rrsd	+	strong
phob	ugpe	+	strong
ydeo	dctr	+	strong
fur	fepd	-	strong
aidb	aidb	-	strong
lrp	oppc	-	strong
crp	laci	+	strong
phop	slyb	-	strong
phob	cusr	+	strong
