Official Symbol Interactor A	Official Symbol Interactor B
Dmrt2	Hnrnpf
Dmrt2	Hnrnpm
Dmrt2	Hnrnpd
Tal1	Kdm1a
Tal1	Hdac1
Itch	Cyld
Cyld	Itch
Foxo3	Ep300
Trp53	Mdm4
Trp53	Mdm2
Mdm4	Mdm2
Usp7	Mdm2
Ddx20	Etv3
Cbl	Fyn
Traf6	Sra1
Irak1	Traf6
Pin1	Nanog
Nanog	Pin1
Rela	Nfkbia
Igf1r	Ubc
Mdm4	Ywhag
Traf6	Ube2n
Traf6	Tnfaip3
Traf6	Ube2d3
Traf6	Itch
Traf6	Rnf11
Traf6	Tax1bp1
Traf2	Ube2n
Traf2	Tnfaip3
Traf2	Itch
Traf2	Tax1bp1
Traf6	Ubc
Traf2	Ubc
Tnfaip3	Tax1bp1
Tax1bp1	Tnfaip3
Trp53	Ubc
Tpp1	Rnf8
Rnf8	Tpp1
Keap1	Nfe2l2
Nfe2l2	Keap1
Nfe2l2	Ubc
Itsn1	Spry2
Klhl2	Npcd
Neurl1a	Cpeb3
Cpeb3	Neurl1a
Itpr1	Vcp
Itpr1	Ubc
Mgrn1	Tsg101
Tsg101	Mgrn1
Plk1	Ddx39b
Ryk	Cdc37
Cdc37	Ryk
Cul1	Skp1a
Cul1	Myog
Skp1a	Cul1
Myog	Cul1
Myog	Ubc
Ncstn	Ubc
Snca	Stx1a
Snca	Snap25
Snca	Vamp2
Hspa8	Snap25
Hspa8	Dnajc5
Hspa8	Sgta
Dnajc5	Snap25
Dnajc5	Hspa8
Dnajc5	Sgta
Sgta	Snap25
Sgta	Hspa8
Sgta	Dnajc5
Stx1a	Snap25
Stx1a	Vamp2
Snap25	Vamp2
Snap25	Stx1a
Vamp2	Snap25
Vamp2	Stx1a
Tardbp	Ubc
Hspa8	Ubc
Snap25	Hspa8
Snap25	Dnajc5
Snap25	Sgta
Snap25	Snca
Tex19.1	Ubr2
Ubr2	Tex19.1
Nedd4	Scnn1a
Nedd4	Ywhab
Scnn1a	Nedd4l
Csnk1e	Ctnnb1
Axin1	Ctnnb1
Ctnnb1	Tcf7l2
Ctnnb1	Crebbp
Prkcz	Gsk3b
Tlr4	Traf6
Tlr4	Myd88
Tlr4	Ticam1
