Official Symbol Interactor A	Official Symbol Interactor B
SERTAD1	CDK4
CDKN2A	CCND2
CDKN2A	CDK4
SERTAD1	CDKN2A
NEDD9	ITCH
NEDD9	SMAD3
ITCH	NEDD9
TNNI3	TNNC1
TRIP10	AKAP9
ALYREF	DDX39A
ALYREF	DDX39B
COG4	COG1
COG4	COG2
COG4	COG5
COG4	COG7
COG5	COG7
COG5	COG4
COG7	COG5
COG7	COG4
COG1	COG4
COG2	COG4
DNTTIP2	ESR1
TSSK2	TSKS
APTX	PARP1
APTX	TP53
APTX	XRCC1
PINX1	MCRS1
MCRS1	TERT
RASIP1	HRAS
RAF1	HRAS
AR	SART3
ERBB4	YAP1
DLG1	GPR124
ULK1	SYNGAP1
ZYX	NEBL
ZYX	LASP1
CCK	CCKBR
STX1A	SCNN1G
NGF	NGFR
NGF	NTRK1
RXRA	RNF8
RXRA	RNF8
NR4A1	BCL2
NR4A1	RXRA
BCL2	BAX
BCL2	NR4A1
PAK1	ARHGEF2
KCNJ12	LIN7A
KCNJ12	LIN7B
KCNJ12	LIN7C
DLG1	CASK
NUP214	ZFP36
FYN	TRPC6
FYN	TRPC6
CEBPB	MED23
NUB1	UBD
UNC119	CD4
UNC119	CD247
UNC119	FYN
UNC119	LCK
RNF11	STAMBP
UBE2I	DNMT3A
PIAS2	DNMT3A
PIAS1	DNMT3A
ARPC1B	PAK1
AKT1	PAK1
AKTIP	AKT1
AKT1	AKTIP
LOXL1	FBLN5
RGS6	DMAP1
HSPH1	CFL1
MYO5A	MLPH
MAPK1	FHL2
FHL2	MAPK1
FBXO38	KLF7
PPARGC1A	NR1H4
RAF1	HRAS
PIK3CA	HRAS
CALCRL	RAMP1
GABBR1	JAKMIP1
SS18L1	CREBBP
HSF1	SYMPK
HABP4	GNB2L1
NDC80	SPC25
SMAD2	PIAS3
SMAD3	PIAS3
SMAD4	PIAS3
HNRNPA1	FEN1
LPAR2	TRIP6
ITPR1	CABP1
MAPK7	YWHAB
HIPK2	DAXX
NOTCH2NL	ELANE
GATA1	HDAC3
GATA1	HDAC4
GATA1	HDAC5
