Official Symbol Interactor A	Official Symbol Interactor B
Trim24	Cbx3
Numb	Lnx1
Spop	H2afy
H2afy	Spop
Mad2l2	Rev1
Ksr1	Map2k1
Rorc	Chd4
Chd4	Rorc
Ggn	Fancl
Lck	Pik3r1
Rabgef1	Rabep1
Rb1cc1	Traf2
Traf2	Rb1cc1
Fos	Tro
Fos	Jun
Mdm2	Trp53
Mdm2	Pole
Trim21	Fcgr2b
Keap1	Nfe2l2
Ccng1	Mdm2
Mdm2	Ccng1
Cdk2	Hist1h1a
Cdk2	Hist1h1a
Spag6	Spag16
Crkl	Abl1
Nanog	Rela
Nanog	Rel
Htt	Hspa8
Htt	Dnaja1
Lrrk2	Lrrk2
Lrrk2	Lrrk2
Cbl	Hck
Ppp2cb	Ppp2r1a
Itgb1	Fermt2
Btrc	Nfe2l2
Pml	Mtor
Snca	Kcnj11
Cbx1	Hist1h1e
Cbx5	Hist1h1e
Cbx3	Hist1h1e
Hist1h1e	Cbx1
Hist1h1e	Cbx5
Hist1h1e	Cbx3
Rb1	Rbak
Casp7	Psme3
Nedd4l	Scnn1a
Nedd4l	Scnn1b
Nedd4l	Scnn1g
Sqstm1	Keap1
Keap1	Sqstm1
Keap1	Sqstm1
Keap1	Sqstm1
Mapk8	Slc2a4
Mid1	Mid1ip1
Pias2	Plagl2
Pias4	Plagl2
Pias1	Plagl2
Trp53	Mdm2
Pxn	Cbl
Abl1	Cbl
Syp	Vamp2
Syp	Park7
Park2	Bax
Gsk3a	Ror2
Gsk3b	Ror2
Neurl2	Ctnnb1
Mapk1	Elk1
Pak1	Mbp
Ywhab	Sptan1
Sptan1	Ywhab
Tcf3	Ascl3
Fbxl2	Ccnd3
Rbx1	Ube2g2
Sirt1	Ncor1
Atg12	Atg5
Bad	Prkaca
Cdk4	Rb1
Ikbkg	Nfkbia
Mapk8	Jun
Jak2	Egfr
Jak2	Jak2
Egfr	Grb2
Dnmt3a	Ehmt2
Mapk3	Mbp
Pdx1	Pcif1
Usp8	Ubc
Bloc1s3	Bloc1s6
Bhlha15	Bhlha15
Mtmr2	Sbf2
Nploc4	Vcp
Ufd1l	Vcp
Bcl10	Malt1
Mapk8	Jun
Capn3	Ankrd1
Dag1	Sgca
Dag1	Sgcd
Ep300	Hif1a
Ep300	Foxo3
Mapk1	Stat1
Ube4b	Ube4b
Zap70	Cbl
Cbl	Sh2b2
Cbl	Egfr
Cbl	Zap70
Fyn	Zfp106
Itgb5	Mapk1
Gmnn	Hoxa11
Gmnn	Hoxd10
Gmnn	Scmh1
Tbp	Gtf2b
Sqstm1	Mapk1
Usp2	Per1
Per1	Usp2
Fam175b	Atf4
Tcf3	Tcf3
Mdc1	Trp53bp1
Cdk2	Hist1h1a
Spag9	Pikfyve
Cav1	Jak2
Gclc	Gclm
Gclc	Gclm
Rps2	Ngly1
Il17rb	Act1
Csrp2bp	Kat2a
Csrp2bp	Csrp2bp
Csrp2bp	Tada3
Csrp2bp	Mbip
Csrp2bp	Wdr5
Csrp2bp	Yeats2
Csrp2bp	Dr1
Ndel1	Nefl
Ndel1	Nefh
Ndel1	Pafah1b1
Ndel1	Dync1h1
Ndel1	Dctn1
Ndel1	Dctn1
Dmd	Dag1
Csf1r	Thoc5
Vldlr	Pafah1b2
Vldlr	Pafah1b3
Kcna2	Kcnab2
Dnmt3b	Dnmt3a
Dnmt3b	Dnmt3a
Dnmt3b	Dnmt3l
Nup62	Nxf1
Hcls1	Hs1bp3
Cav3	Src
Cav3	Dmd
Mapk8	Jun
Ikbkg	Nfkbib
Ferd3l	Tcf3
Ascl1	Tcf3
Socs3	Tceb1
Socs3	Tceb2
Socs3	Cul5
Hgs	Hgs
Hgs	Hgs
Fbxl2	Tcp1
Rbx1	Ube2g2
Fbxl2	Tcp1
Fbxl2	Calm1
Ccl2	Ccr2
Dlg4	Kcna4
Abl2	Abi1
Map3k7	Skil
Ndfip1	Pten
Cebpd	Rb1
Cebpb	Rb1
Vps4b	Vta1
Twsg1	Bmp7
Tnfrsf1a	Bre
Dusp2	Mapk1
Dusp2	Mapk14
Prkcz	Jak1
Prkcz	Jak1
Cdk2	Hist1h1c
Kitl	Kit
Cacna1d	Stx1a
Bcl2l1	Bax
Ascl1	Tcf3
Ascl1	Neurog2
Neurog2	Ascl1
Tcf3	Ascl1
Chd8	Kpna2
Prkg1	Gkap1
Bid	Bax
Kdr	Figf
Rqcd1	Myb
Mapkapk2	Phc2
Mapkapk2	Phc1
Mapkapk2	Mapk14
Mapkapk2	Rnf2
Mapkapk2	Phc2
Phc2	Mapkapk2
Crebbp	Creb1
Pin1	Irak1
Myd88	Irak1
Traf6	Irf7
Ikbkb	Nfkbia
Jun	Fos
Smad3	Smad4
Tbp	Pias1
Nphp1	Nphp4
Nphp4	Nphp1
Nphp4	Rpgrip1l
Rpgrip1l	Nphp4
Nphp1	Rpgrip1l
Iqcb1	Cep290
Cep290	Iqcb1
Sox9	Creb1
Hsp90aa1	Chordc1
Mta1	Sh3gl3
Eif4e	Eif4ebp2
Hyou1	Sec61a1
Mapk8	Jun
Mapk8	Spag9
Mapk8	Mapk8ip3
Mapk14	Atf2
Mapk1	Elk1
Actb	Cotl1
Ikbkg	Nfkbia
Kdr	Figf
Fgf2	Fgfrl1
Mesdc2	Lrp6
Gata6	Lmcd1
Mapk3	Mbp
Cdx2	Pou5f1
Keap1	Nfe2l2
Irf8	Zbtb17
Tef	Tef
Tef	Dbp
Tfap2d	Tfap2d
Pim2	Socs1
Trpm7	Myh2
Raver2	Ptbp1
Ptbp1	Raver2
Syp	Vamp2
Syp	Syngr3
Neurl2	Pdcd6ip
Ikbkg	Nfkbia
Jakmip1	Kif1b
Apbb1	Enah
Src	Pxn
Cacnb2	Cacna1a
Cacnb2	Cacna1b
Nfkbia	Hoxa9
Crebbp	Hoxa9
Fzr1	Arhgap35
Atg7	Atg7
Atg7	Atg3
Atxn1	Rora
Atxn1	Kat5
Atp6v1g1	Atp6v0a1
Atp6v1g1	Atp6v0c
Pak1	Mbp
Ccne1	Cdk2
Cdk2	Hist1h1a
Stub1	Ilk
