Source	Target
IL2VL 	 RMEV          
IL2VL 	 URAVL         
IL2VR 	 ADLR          
IL2VR 	 IL1VR         
IL2VR 	 OLQVR         
IL2VR 	 URXR          
IL2VR 	 RIAR          
IL2VR 	 RIH           
IL2VR 	 RIPR          
IL2VR 	 AVAL          
IL2VR 	 RMED          
IL2VR 	 RMEL          
IL2VR 	 RMER          
IL2VR 	 RMEV          
IL2VR 	 URAVR         
IL2VR 	 SIADR         
OLQDL 	 CEPDL         
OLQDL 	 URYDL         
OLQDL 	 RICR          
OLQDL 	 RIH           
OLQDL 	 RMDDL         
OLQDL 	 RMDDR         
OLQDL 	 RMED          
OLQDL 	 RMEL          
OLQDL 	 RMHL          
OLQDL 	 SIBDL         
OLQDL 	 dBWML6        
OLQDR 	 IL1DR         
OLQDR 	 RICL          
OLQDR 	 RICR          
OLQDR 	 RIH           
OLQDR 	 RMDDL         
OLQDR 	 RMER          
OLQDR 	 RMHR          
OLQDR 	 SIBDR         
OLQVL 	 IL2L          
OLQVL 	 RICL          
OLQVL 	 AVAL          
OLQVL 	 AVDR          
OLQVL 	 RMDVR         
OLQVL 	 RMHL          
OLQVL 	 SIBVL         
OLQVR 	 IL1VR         
OLQVR 	 RIAR          
OLQVR 	 RICR          
OLQVR 	 RIH           
OLQVR 	 RIPR          
OLQVR 	 RMDVL         
OLQVR 	 RMER          
OLQVR 	 RMHR          
OLQVR 	 SIBVR         
OLLL 	 IL1VL         
OLLL 	 OLLL          
OLLL 	 CEPDL         
OLLL 	 CEPVL         
OLLL 	 URYDL         
OLLL 	 URYVL         
OLLL 	 RIBL          
OLLL 	 AVER          
OLLL 	 RMDDL         
OLLL 	 RMDL          
OLLL 	 RMDVL         
OLLL 	 RMEL          
OLLL 	 SMDDL         
OLLL 	 SMDDR         
OLLL 	 SMDVR         
OLLR 	 IL1DR         
OLLR 	 IL1VR         
OLLR 	 IL2R          
OLLR 	 OLQDR         
OLLR 	 OLLR          
OLLR 	 CEPDR         
OLLR 	 CEPVR         
OLLR 	 URYVL         
OLLR 	 ADER          
OLLR 	 RIBR          
OLLR 	 RIS           
OLLR 	 AVEL          
OLLR 	 RMDDR         
OLLR 	 RMDL          
OLLR 	 RMDR          
OLLR 	 RMDVR         
OLLR 	 RMED          
OLLR 	 RMER          
OLLR 	 SMDDL         
OLLR 	 SMDDR         
OLLR 	 SMDVL         
OLLR 	 SMDVR         
CEPDL 	 AFDL          
CEPDL 	 IL1DL         
CEPDL 	 IL2DL         
CEPDL 	 OLQDL         
CEPDL 	 OLLL          
CEPDL 	 CEPDR         
CEPDL 	 ALML          
CEPDL 	 URYDL         
CEPDL 	 AINL          
CEPDL 	 RIBL          
CEPDL 	 RICL          
CEPDL 	 RICR          
CEPDL 	 RIH           
CEPDL 	 RIS           
