Official Symbol Interactor A	Official Symbol Interactor B
EXOSC6	EXOSC1
CDK14	08-Sep
TLK1	ASF1A
TLK1	ASF1B
GOLGA7	GOLGA3
CDHR2	MAST2
NELFE	NELFB
LSM2	LSM8
LSM2	LSM3
LSM2	LSM7
ABHD16A	RNF5
CSNK2B	CSNK2A2
CSNK2B	CSNK2B
CSNK2B	RPL5
TRIM39	TRIM39
TRAF2	CDCA3
CALCOCO2	TP53RK
KRT81	KXD1
ACTB	CFL1
LMO2	MAPRE2
TRAF2	ZBTB25
ZSCAN32	ZSCAN32
RBM10	PTBP2
RWDD2B	GADD45G
PLSCR1	CPSF6
LGALS8	CALCOCO2
DAZAP2	DCUN1D1
CALCOCO2	FBF1
STK24	PDCD10
CEBPG	MLLT6
HGS	EXOC7
ZNF446	ZSCAN16
CCDC85B	KANSL1
KXD1	MAP1LC3B
ATF4	GPS2
SAT1	RBM17
TRAF2	FBXO28
PRKCI	PARD6A
RBPMS	STRBP
RBPMS	DTX2
RBPMS	TOLLIP
OTX1	KRTAP4-12
TLK1	TLK1
GYG1	GYS1
GSTM3	GSTM3
MVK	MVK
HMG20A	TESC
NME5	DYDC1
AP1M1	TIFA
BAD	SFN
VIM	KAT7
USHBP1	DYDC1
CTPS2	CTPS2
GADD45A	DCTN2
ZSCAN32	ZNF446
KRT6B	KRT15
POM121	AGR2
PRR13	KLHL12
PHF10	L3MBTL2
VSNL1	DTX2
MAGEA1	MIEF1
NOL3	NOL3
TRIM23	TRIM23
PCBD1	PCBD1
NUP62	NUP54
MLX	GABARAPL2
PRC1	USHBP1
PBX3	AGTRAP
PIAS2	NAV2
KLHL12	KLHL12
KIAA0408	SORBS3
APPL1	APPL2
CRY1	PLSCR1
CCNH	SSSCA1
MAPK1IP1L	MAPK1IP1L
STX8	VTI1B
HK2	UBQLN1
ACTB	CFL2
DAZAP2	DAZAP2
MAGEA11	DNAJC10
THAP1	RALYL
CTBP2	BAZ2B
UBE2I	MAPK1IP1L
PDCD6	HEBP2
TRIM37	FAM124B
PSME2	PSME2
DAZAP2	C1orf94
PIN1	TRAF2
FAM127B	UBQLN1
CYTH3	CNKSR1
RASSF8	FRMD6
FHIT	FHIT
BSCL2	TMEM19
EMC2	EMC8
AP1M1	FXR2
BSCL2	SMIM3
NFYB	DRAP1
BLOC1S6	SKA1
DTNB	NUP62
ACTB	ACTB
KXD1	CEP19
SGTA	SPP1
CCDC85B	TCEANC
MDFI	FAM124B
TP53	MAGEB18
SNRPG	DDIT4L
MDFI	TYMSOS
STX8	CREB3
HNRNPC	KPNA3
BTG1	CNOT8
HOXA9	TRIP6
