source	target
HMGN3	RP11-84A14
RAD21	RP3-370M22
SIN3A	RP11-84A14
BCL3	MIRLET7I
BCL11A	RP5-827O9
TFAP2C	AC078883
TBP	RP11-322M19
ZNF143	CTA-397H3
YY1	MIR1282
CTCF	CTD-2185K10
MAX	AL669918
ZNF263	RP11-814P23
BHLHE40	RP3-510O8
USF2	NCRNA00111
CHD2	RP11-6F2
RAD21	RP11-343H5
EP300	AL355574
TAF1	HCG16
EBF1	RP11-327P2
PAX5	AC062029
SIX5	RP11-274J16
ZBTB7A	AC017099
FOS	AC023137
CEBPB	MIR626
MAFK	RP1-43E13
NR3C1	RP11-45A16
RAD21	AC004080
MAX	XXBAC-BPG249D20
CEBPB	RP3-487J7
REST	MIR648
IRF1	AC093734
SRF	RP11-705C15
NFKB1	AC068831
CCNT2	RP11-131L23
MAFK	RP11-64C1
GATA2	AC131213
EGR1	RP5-864K19
E2F6	RP11-40F6
USF1	AC073046
REST	U6
EBF1	RP11-325F22
E2F6	RP3-477M7
YY1	MIR1539
HDAC2	RP11-148B18
MXI1	KB-431C1
USF1	AC005304
JUND	HCG14
MAX	AC092718
USF1	AL009179
MAFK	AC010974
TCF12	AP001468
MAX	MIR1181
JUND	AL136040
HDAC2	SNORA70
ATF3	U6
TCF12	RP11-223A3
TAF7	RP11-80H5
ZNF143	RP11-6F2
CTCF	RP11-177H2
SPI1	RP4-758J18
FOXA2	RP11-138N21
RXRA	AP006216
USF1	SNORD38
HDAC2	RP11-795J1
SIX5	RP11-452K12
USF2	AP001056
EGR1	AC132872
EGR1	AL356017
SIN3A	AL132780
PAX5	RPPH1
HDAC2	RP11-732A19
PBX3	RP4-584D14
USF1	MIR155HG
MAFK	RP11-23O13
ELF1	RP11-452K12
TFAP2C	AC074391
NFYA	RP11-11N5
TBP	AC104024
TFAP2A	RP11-247A12
SPI1	RP6-159A1
CTCF	AL590403
CHD2	RP11-56D16
MAX	AC104133
TRIM28	AL669918
GTF2F1	RP11-422J8
FOSL2	AC022098
SRF	RP1-86D1
ZEB1	NCRNA00169
TCF12	CTD-2003C8
ELK4	AC005740
STAT3	RP11-86H7
HNF4G	RP11-69I8
MAX	RP11-431I8
FOS	MIR451
ZNF263	RP11-150O12
SP2	AC022098
SETDB1	RP11-174M13
USF1	AP003071
BHLHE40	AL353805
NFKB1	AC093897
ZNF263	AC005037
EBF1	RP11-152H18
MAX	CTD-3074O7
ELF1	AC022098
CEBPB	SNORA2
MYC	ZNF718
TBP	MIR497HG
PAX5	AP000279
SP1	AL132780
NFKB1	SNORD35B
E2F1	CTD-2525J15
ZBTB7A	RP11-480I12
TAF1	RP1-266L20
BATF	RP11-761N21
MYC	RP11-332J15
PAX5	RP11-6F2
NR3C1	AC073548
PAX5	MIR423
FOS	RP11-79M19
CTCF	RP11-795J1
USF1	MIR132
YY1	RP11-126H7
SIN3A	AC145207
E2F4	RP11-804A23
MAX	RP11-127L20
POU2F2	RP11-262H14
TBP	RP11-789G22
ELF1	RP11-322M19
FOXA1	RP11-794G24
TFAP2C	RP11-399K21
TRIM28	RP11-365O16
ZEB1	CTA-286B10
TAF1	CTC-231O11
TRIM28	RP1-266L20
FOXA2	RP11-259F4
E2F1	AC017116
TBP	AC008592
NFKB1	AC093391
EBF1	RP11-469L23
RXRA	AL035106
USF1	AC073263
TAF1	AP001065
IRF4	RP11-462L8
MAX	AC018470
ZNF263	MIRLET7I
CTBP2	RP11-302K17
YY1	NEAT1
FOSL2	RP11-113K21
SRF	RP11-230C9
BCLAF1	AL139125
BRCA1	RP11-800A3
SMARCC1	RP11-169D4
TAF1	AC007246
MAFF	RP11-118D22
HMGN3	AC002310
RXRA	RP11-18H7
GATA1	SNORA40
POU2F2	RP11-218M22
NFKB1	AC069257
FOXA2	RP11-344J7
SPI1	AC026271
HDAC2	KIAA0114
ELF1	AC114730
YY1	RP1-241P17
EGR1	RP4-584D14
TBP	AC012307
TBP	RP4-550H1
YY1	RP11-291L22
EP300	AC099344
MYC	RP5-1172N10
ELK4	RP11-745O10
SRF	RP11-67L3
POU2F2	RP11-110G21
RXRA	SNORD3D
ZBTB33	RNU1-5
GABPA	RP11-517P14
REST	AC016999
SETDB1	AL356017
USF2	RP11-314N13
BHLHE40	RP11-81N13
BCLAF1	RP11-117B7
MYC	EEF1DP3
RDBP	RP11-65N13
SRF	AC008567
ESR1	RP4-550H1
E2F6	AP001468
JUN	RP11-382D12
NFKB1	CTC-378H22
TAL1	SNORA7
EP300	MIR629
TAF7	RP11-1144P22
CEBPB	RP4-723E3
HNF4A	XXBAC-BPG249D20
ELF1	U3
BATF	RP11-142L1
CTCF	CTD-2514K5
HMGN3	RP11-539G18
PBX3	RP4-633O19__A
YY1	RP4-613A2
TAF1	AC012377
CHD2	AL035106
PAX5	AL158032
RAD21	RP11-195F19
TFAP2C	RP11-335G20
NFYA	RNU1-2
MAFK	AC005631
CTCF	CTC-436K13
E2F4	RP1-90J20
ELF1	C12ORF75
MAX	RP11-20I20
TFAP2A	AC019221
MYC	AC004080
THAP1	RP11-364B6
YY1	AC006028
CHD2	RP11-290F20
NFYA	RP11-267M23
USF1	RP5-921G16
MAX	SNORD105
TBP	RP11-5N23
MAX	RP3-527G5
MEF2C	AL136040
ELK4	SNORA39
CTCF	RP1-140A9
ELF1	MIR497HG
ZEB1	AC005592
YY1	RP5-968D22
GATA3	RP11-227H4
FOXA2	AP001048
BRCA1	RP11-348A11
FOXA2	RP11-18B16
HDAC2	Z83851
YY1	RP11-274J16
TAF1	SCARNA17
TAF7	AC090774
SP1	RP11-473O4
GATA1	VPS11
YY1	RP11-261E12
GATA1	RNU5B-1
NANOG	CTD-2308B18
SIN3A	MIRLET7I
FOS	AC020915
RXRA	RNU5A
MAFK	MIR549
FOXA1	AL356534
JUND	RP11-315O6
JUN	MIR374AHG
EP300	RP11-382A18
ZEB1	CTA-292E10
HDAC2	RP11-464F9
MAFK	RP5-1069P2
USF1	RP11-732A19
ELF1	RP11-545E17
USF1	NCRNA00240
NFKB1	RP11-200A1
E2F6	RP11-160H22
SIN3A	RP11-306I1
CEBPB	Z83844
SIN3A	RP11-322M19
USF1	RP11-261P24
RAD21	RP11-647P12
ELK4	SNORD13
ELF1	RP11-472G21
ELF1	AC090939
FOXA2	RP11-6B4
XRCC4	U3
CTCF	AC005682
TAF1	RP11-439K3
E2F6	MIR1539
STAT3	NEAT1
HNF4A	MIR138-2
RFX5	RP11-327P2
EP300	AC046143
USF2	AC037193
TCF12	AP001059
TCF4	CTC-573N18
CCNT2	AC005592
EP300	AC005539
ELF1	AC025171
EP300	RP11-521M14
GATA1	RP11-446H18
SPI1	RP11-109P14
NFYB	AD000671
SMARCB1	RP11-446H18
TCF12	AC018737
SRF	RP11-378J18
CTCF	AC010789
ZNF263	RP11-265B8
HDAC2	NOL12
STAT3	RP5-839B4
TFAP2C	RP11-613D13
ZNF263	RP1-101K10
ELF1	NCRNA00167
EBF1	AC013722
RAD21	RP11-148B18
NFYB	AC005726
JUND	RP13-81N3
ELK4	AC012531
RAD21	RP5-1050E16
E2F1	CEACAM20
MAFK	VAULT
RAD21	RP1-151B14
E2F1	RP11-379J5
STAT3	AP001044
EGR1	AP000936
SPI1	AF127936
ZBTB7A	AC016700
JUN	RP4-543J19
ELF1	HCG11
STAT1	AL355916
FOXA1	AC004540
RDBP	AC090774
MYC	MIR24-2
SMARCB1	C21ORF125
MXI1	SNORD50B
CTCF	SNORD18A
HNF4A	RP11-197N18
GATA3	RP11-10N23
TRIM28	AC009948
ESR1	RP11-706D8
ZNF263	AC104655
TCF12	NCRNA00154
CEBPB	RP11-555H7
MXI1	AC018809
USF1	RP11-148G20
ESR1	AC026469
ZNF263	AC012309
BATF	RNU5D
STAT3	RP5-855F14
TRIM28	RP11-455J20
GATA3	AC006116
CTCF	RP11-541M12
IRF1	RP11-298J20
ESR1	MIR196A2
HDAC2	RP11-533O20
TAL1	AC068280
USF2	AC004053
SMARCB1	AC026469
BRCA1	CTD-2337A12
MXI1	RP11-81N13
ZEB1	NCRNA00160
ELF1	AC012645
CTCF	CTB-43E15
NFYA	RP11-363N22
SREBF1	AC002116
CTCF	AC073842
FOS	SNORD42B
SIN3A	MIR1292
CTCF	RP11-405K6
YY1	AC069259
FOS	RP11-804A23
EGR1	MIR1282
SMC3	AL589947
E2F1	RP11-540A21
BCL3	AC079305
ZBTB33	XXBAC-BPG254F23
IRF1	RP11-17G12
TAF1	AC141586
IRF1	RP4-646N3
RAD21	AC012377
MAX	AC020926
GATA3	RP11-159F24
POU2F2	AC103563
FOS	Z98883
USF1	RP11-431D12
CTCF	AL117209
YY1	AC092835
SP1	AC012533
EGR1	RP11-245P10
TAF1	AC145098
TRIM28	RP1-234P15
CEBPB	RP11-21N7
ZBTB7A	RP11-26J3
NANOG	RP11-479G22
PBX3	AP001468
POU2F2	AC006547
RXRA	XXYAC-R12DG2
IRF4	RP11-109P14
JUND	AC005017
CCNT2	MIR33B
BATF	RP11-235G24
RAD21	RP1-137D17
SIX5	RP11-309M23
BRCA1	GS1-124K5
CEBPB	BDNF-AS1
E2F6	HCP5
PAX5	RP11-755F10
E2F6	RP1-283E3
HNF4G	AC108488
YY1	RP11-622K12
PBX3	AC002115
CTCF	AC113610
STAT3	RP3-416J7
JUN	AL590226
ESR1	RP11-447D11
MYC	RP4-756H11
SPI1	SNORD88B
GTF2B	U8
TCF12	RP4-784A16
FOS	RP11-393J16
NFKB1	AC006116
TCF12	RNU11
E2F1	RNU1-5
CTCF	MIR1238
TRIM28	C17ORF54
BATF	RP11-227H4
GATA2	C12ORF33
EGR1	RP1-266L20
MAX	RP11-225L12
ZEB1	RP11-390F4
MAX	RP11-271C24
GATA2	RP11-347L18
PAX5	SNORA48
GATA2	RP3-453P22
ZNF143	RNU11
GATA3	AC063980
CTCF	AC004854
GATA2	RP11-315O6
RAD21	RP11-587D21
NFKB1	XX-C283C717
ZEB1	SNORD112
ELF1	AC007686
RAD21	RP4-530I15
EGR1	RP11-282O18
STAT3	RP5-864K19
MYC	RP11-326F20
ZBTB33	RP11-199F6
SMARCB1	AC096649
MAX	RP11-124N2
E2F4	TTC28-AS1
MAX	RP11-407B7
YY1	RP11-465L10
EP300	SCARNA18
STAT3	SNORA71A
TBP	AC006504
HMGN3	AL139123
MAFF	MIR300
JUN	RP11-478K15
GABPA	AC106739
SMARCB1	RP11-134G8
SIN3A	RP11-480I12
FOXA1	RP11-18H7
TBP	AC108125
JUN	U8
GATA2	CTA-384D8
STAT3	BX470102
TAF1	SNORA24
ZNF263	RP11-148B18
HNF4G	RP11-510N19
PBX3	RP11-80H5
USF2	RP11-197N18
TRIM28	RP11-337A23
SP1	U6
USF1	CTD-2245O6
SREBF2	CTB-161K23
SMARCC1	AP000569
ZBTB7A	RP11-195F19
TAL1	RP11-356J5
CTCF	AC005626
BHLHE40	AC083843
ZBTB7A	RP11-677M14
SPI1	MIR612
CTCF	RP3-495K2
EP300	MIR578
USF1	RP11-58O15
EP300	RP11-510N19
YY1	AC093627
CEBPB	RP11-410K21
E2F1	AC103876
BRF2	MIR1299
NFKB1	AL034548
CEBPB	CTD-2234B20
ETS1	AP000279
RFX5	RNU7-1
TCF4	RP11-443B7
PAX5	MIRLET7I
CTCF	RP3-453P22
YY1	UCA1
SP1	AC013267
YY1	SNORD112
EP300	RP11-397C18
HDAC2	RP11-18B16
GATA3	AC092295
JUN	RP11-9N20
ELF1	RP11-182N22
SMARCC1	RP11-727A23
ZNF143	NCRNA00183
ZNF143	AC084809
FOS	RP4-773A18
HNF4G	AP001059
CTCFL	AC068831
CHD2	AC006994
SP1	NCRNA00167
E2F6	AL354733
CEBPB	RP4-760C5
GTF2B	SNORD12C
EP300	AC092198
GATA3	RP11-3L23
TBP	CTD-2292P10
BHLHE40	XXBAC-BPG181M17
E2F6	RP11-496I9
SP1	RP11-89K10
ZEB1	RP5-1024G6
RAD21	RP11-19O2
MYC	RP11-33I11
SIX5	SNORD68
ZEB1	AC114730
TAF1	RP11-21N7
NRF1	RP11-314A20
YY1	AC073263
JUND	AC139887
SMARCB1	RP11-646J21
GTF2F1	RP11-337C18
MYC	AC034110
HNF4A	RP11-574K11
EBF1	AC007686
GABPA	RP11-117B7
MYC	RP11-429J17
SRF	RP11-213H15
SMARCC1	RP4-555L14
ZEB1	SCARNA18
CTCF	AC093110
MYC	MIR155HG
TBP	AC092017
MAX	AC093391
GATA2	AL161669
SPI1	AP000721
MAX	AP000783
ELF1	AC131971
JUND	CTD-2562J17
CTCF	RP11-414H17
E2F6	AC074391
RAD21	MIR589
E2F6	RP11-18I14
SPI1	RP11-462L8
PRDM1	RP1-290C9
CCNT2	U5
GTF2F1	RP11-244K5
TBP	RP11-67L3
ELF1	AC046143
TAF1	AC004863
TBP	RP11-10N23
MAFK	RP11-613M10
MXI1	MIR18A
IRF1	TTC28-AS1
MXI1	AC087385
STAT1	SNOU13
FOS	RP11-513G19
TAL1	MIR26A2
NFYB	GS1-279B7
GATA3	AC010525
TCF4	AP003068
NANOG	LL22NC03-86G7
FOSL2	RP11-393J16
PAX5	RP11-152N13
TCF12	RP11-804A23
CHD2	AP000569
REST	AC087069
CTCF	MIR370
FOXA1	RP1-151F17
EBF1	AL136040
E2F4	AC120114
SPI1	CTD-2062O1
CTCF	RP11-95L3
JUN	AC128709
YY1	SNORD13
USF1	RP5-1091N2
YY1	KIAA0114
FOSL2	AL022341
CTCF	RP4-784A16
NR3C1	RP4-541C22
FOSL2	AC012370
E2F4	AL078611
GATA2	RP11-91P24
MAX	AC002451
CEBPB	AC007395
SRF	SNORD15A
MEF2C	AC004540
SPI1	AP001058
ZNF143	RP11-56D16
FOSL2	RP5-995J12
EP300	CTD-2024I7
YY1	RP11-15B17
SMC3	RP11-700H6
BDP1	RNU7-58P
TCF4	RP11-348A11
BCL3	RP3-508I15
MAFK	RP11-464E15
SPI1	RP11-24C3
TAF1	CTD-2292P10
SIN3A	RP11-142L1
MAFF	RP1-155D22
SMARCB1	RP11-399E6
NFKB1	RP11-453E17
SMARCB1	RP11-429J17
HDAC2	RP11-54A4
JUN	RP11-227H15
NFKB1	RP11-481F23
REST	RP11-495K9
