
WARNING from init.py: found 154 self-loops, here is one of them: ('JW3352', 'JW3352')

================================================== NH_Bacteria.txt ==================================================
alive 958       dead 56        maxd 8         mind 3         Hub deg 8         no. Leafs 90        swapped 7 (in) 0 (out)
alive 957       dead 57        maxd 8         mind 3         Hub deg 8         no. Leafs 81        swapped 7 (in) 0 (out)
alive 956       dead 58        maxd 7         mind 2         Hub deg 7         no. Leafs 1         swapped 0 (in) 1 (out)
alive 956       dead 58        maxd 7         mind 3         Hub deg 7         no. Leafs 71        swapped 6 (in) 0 (out)
alive 955       dead 59        maxd 7         mind 3         Hub deg 7         no. Leafs 61        swapped 7 (in) 0 (out)
alive 954       dead 60        maxd 7         mind 2         Hub deg 7         no. Leafs 1         swapped 0 (in) 1 (out)
alive 954       dead 60        maxd 7         mind 3         Hub deg 7         no. Leafs 52        swapped 7 (in) 0 (out)
alive 953       dead 61        maxd 7         mind 3         Hub deg 7         no. Leafs 44        swapped 6 (in) 0 (out)
alive 952       dead 62        maxd 7         mind 2         Hub deg 7         no. Leafs 1         swapped 0 (in) 1 (out)
alive 953       dead 61        maxd 7         mind 1         Hub deg 7         no. Leafs 1         swapped 0 (in) 1 (out)
alive 953       dead 61        maxd 7         mind 2         Hub deg 7         no. Leafs 1         swapped 0 (in) 1 (out)
alive 953       dead 61        maxd 7         mind 3         Hub deg 7         no. Leafs 38        swapped 7 (in) 0 (out)
alive 952       dead 62        maxd 7         mind 3         Hub deg 7         no. Leafs 28        swapped 7 (in) 0 (out)
alive 951       dead 63        maxd 7         mind 3         Hub deg 7         no. Leafs 20        swapped 7 (in) 0 (out)
alive 950       dead 64        maxd 7         mind 2         Hub deg 7         no. Leafs 1         swapped 0 (in) 1 (out)
alive 950       dead 64        maxd 7         mind 3         Hub deg 7         no. Leafs 11        swapped 5 (in) 1 (out)
alive 951       dead 63        maxd 7         mind 1         Hub deg 7         no. Leafs 2         swapped 1 (in) 0 (out)
alive 951       dead 63        maxd 7         mind 2         Hub deg 7         no. Leafs 2         swapped 1 (in) 0 (out)
alive 951       dead 63        maxd 7         mind 3         Hub deg 7         no. Leafs 9         swapped 4 (in) 1 (out)
alive 951       dead 63        maxd 7         mind 2         Hub deg 7         no. Leafs 1         swapped 0 (in) 1 (out)
alive 951       dead 63        maxd 7         mind 3         Hub deg 7         no. Leafs 5         swapped 2 (in) 1 (out)
alive 951       dead 63        maxd 7         mind 3         Hub deg 7         no. Leafs 2         swapped 1 (in) 0 (out)
alive 951       dead 63        maxd 7         mind 4         Hub deg 7         no. Leafs 856       swapped 7 (in) 0 (out)
alive 950       dead 64        maxd 6         mind 3         Hub deg 6         no. Leafs 4         swapped 2 (in) 0 (out)
alive 950       dead 64        maxd 6         mind 3         Hub deg 6         no. Leafs 2         swapped 1 (in) 0 (out)
alive 950       dead 64        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 950       dead 64        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 950       dead 64        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 950       dead 64        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 950       dead 64        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 950       dead 64        maxd 6         mind 4         Hub deg 6         no. Leafs 842       swapped 6 (in) 0 (out)
alive 949       dead 65        maxd 6         mind 3         Hub deg 6         no. Leafs 2         swapped 1 (in) 0 (out)
alive 949       dead 65        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 949       dead 65        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 949       dead 65        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 949       dead 65        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 949       dead 65        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 949       dead 65        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 949       dead 65        maxd 6         mind 4         Hub deg 6         no. Leafs 828       swapped 5 (in) 0 (out)
alive 948       dead 66        maxd 6         mind 3         Hub deg 6         no. Leafs 4         swapped 2 (in) 0 (out)
alive 948       dead 66        maxd 6         mind 3         Hub deg 6         no. Leafs 2         swapped 1 (in) 0 (out)
alive 948       dead 66        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 948       dead 66        maxd 6         mind 4         Hub deg 6         no. Leafs 819       swapped 6 (in) 0 (out)
alive 947       dead 67        maxd 6         mind 3         Hub deg 6         no. Leafs 3         swapped 1 (in) 1 (out)
alive 947       dead 67        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 947       dead 67        maxd 6         mind 4         Hub deg 6         no. Leafs 811       swapped 6 (in) 0 (out)
alive 946       dead 68        maxd 6         mind 3         Hub deg 6         no. Leafs 5         swapped 2 (in) 1 (out)
alive 946       dead 68        maxd 6         mind 3         Hub deg 6         no. Leafs 4         swapped 2 (in) 0 (out)
alive 946       dead 68        maxd 6         mind 3         Hub deg 6         no. Leafs 2         swapped 1 (in) 0 (out)
alive 946       dead 68        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 946       dead 68        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 946       dead 68        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 946       dead 68        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 946       dead 68        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 946       dead 68        maxd 6         mind 4         Hub deg 6         no. Leafs 797       swapped 5 (in) 0 (out)
alive 945       dead 69        maxd 5         mind 3         Hub deg 5         no. Leafs 2         swapped 1 (in) 0 (out)
alive 945       dead 69        maxd 5         mind 4         Hub deg 5         no. Leafs 791       swapped 4 (in) 0 (out)
alive 944       dead 70        maxd 5         mind 3         Hub deg 5         no. Leafs 2         swapped 1 (in) 0 (out)
alive 944       dead 70        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 944       dead 70        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 944       dead 70        maxd 6         mind 4         Hub deg 6         no. Leafs 787       swapped 6 (in) 0 (out)
alive 943       dead 71        maxd 5         mind 3         Hub deg 5         no. Leafs 6         swapped 3 (in) 0 (out)
alive 943       dead 71        maxd 5         mind 2         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 943       dead 71        maxd 5         mind 3         Hub deg 5         no. Leafs 4         swapped 2 (in) 0 (out)
alive 943       dead 71        maxd 5         mind 3         Hub deg 5         no. Leafs 3         swapped 1 (in) 1 (out)
alive 943       dead 71        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 943       dead 71        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 943       dead 71        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 943       dead 71        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 943       dead 71        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 944       dead 70        maxd 5         mind 1         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 944       dead 70        maxd 5         mind 2         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 944       dead 70        maxd 6         mind 3         Hub deg 6         no. Leafs 4         swapped 2 (in) 0 (out)
alive 944       dead 70        maxd 5         mind 3         Hub deg 5         no. Leafs 2         swapped 1 (in) 0 (out)
alive 944       dead 70        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 944       dead 70        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 944       dead 70        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 944       dead 70        maxd 5         mind 4         Hub deg 5         no. Leafs 786       swapped 5 (in) 0 (out)
alive 943       dead 71        maxd 5         mind 3         Hub deg 5         no. Leafs 4         swapped 2 (in) 0 (out)
alive 943       dead 71        maxd 5         mind 3         Hub deg 5         no. Leafs 2         swapped 1 (in) 0 (out)
alive 943       dead 71        maxd 5         mind 4         Hub deg 5         no. Leafs 781       swapped 5 (in) 0 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 3         swapped 1 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 3         swapped 1 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 3         swapped 1 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 3         swapped 1 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 3         swapped 1 (in) 1 (out)
alive 942       dead 72        maxd 6         mind 2         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 3         swapped 1 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 2         swapped 1 (in) 0 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 4         Hub deg 5         no. Leafs 776       swapped 4 (in) 0 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 2         swapped 1 (in) 0 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 1         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 942       dead 72        maxd 6         mind 2         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 943       dead 71        maxd 5         mind 1         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 943       dead 71        maxd 5         mind 2         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 943       dead 71        maxd 5         mind 3         Hub deg 5         no. Leafs 7         swapped 3 (in) 1 (out)
alive 943       dead 71        maxd 5         mind 1         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 943       dead 71        maxd 5         mind 2         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 943       dead 71        maxd 6         mind 3         Hub deg 6         no. Leafs 6         swapped 3 (in) 0 (out)
alive 943       dead 71        maxd 5         mind 3         Hub deg 5         no. Leafs 2         swapped 1 (in) 0 (out)
alive 943       dead 71        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 943       dead 71        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 943       dead 71        maxd 5         mind 4         Hub deg 5         no. Leafs 781       swapped 5 (in) 0 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 4         swapped 2 (in) 0 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 3         swapped 1 (in) 1 (out)
