source target sign
MMU-MIR-15A-5P ELN -
MMU-MIR-15A-5P FGF2 +
MMU-MIR-27B-3P SMAD5 -
MMU-MIR-27B-3P SMAD4 -
MMU-MIR-27B-3P SMAD3 -
MMU-MIR-27B-3P MEF2C +
MMU-MIR-489-3P MYD88 +
MMU-MIR-7A-2-3P PRKCB -
MMU-MIR-7A-2-3P WIPF2 -
MMU-MIR-7A-2-3P CPLX1 -
MMU-MIR-7A-2-3P SNCA +
MMU-MIR-7A-2-3P PFN2 +
MMU-MIR-7A-2-3P ZDHHC9 +
MMU-MIR-7A-2-3P BASP1 +
MMU-MIR-1A-3P HAND2 +
MMU-MIR-1A-3P NPPA -
MMU-MIR-1A-3P ACTA1 -
MMU-MIR-1A-3P ETS1 -
MMU-MIR-1A-3P FN1 +
MMU-MIR-1A-3P RHEB -
MMU-MIR-1A-3P RPS6 -
MMU-MIR-1A-3P POLA1 -
MMU-MIR-1A-3P PAX7 -
MMU-MIR-1A-3P MYOCD +
MMU-MIR-1A-3P HDAC4 -
MMU-MIR-1A-3P SRF +
MMU-MIR-1A-3P CDK9 +
MMU-MIR-1A-3P RASA1 -
MMU-MIR-1A-3P IRX5 +
MMU-MIR-1A-3P MYH6 +
HSA-MIR-21-5P PTEN +
HSA-MIR-21-5P RECK +
MMU-MIR-16-5P CD40 +
MMU-MIR-16-5P FGF2 +
MMU-MIR-16-5P VEGFA +
