miRNA	Target Gene  # filtered 'homo sapiens' from http://mirtarbase.mbc.nctu.edu.tw/cache/download/6.1/miRTarBase_WE_MP.xls
hsa-miR-16-5p	GOLGA5
hsa-miR-16-5p	ECHDC1
hsa-miR-16-5p	CREBL2
hsa-miR-16-5p	CEP63
hsa-miR-16-5p	CENPJ
hsa-miR-16-5p	CDC14B
hsa-miR-16-5p	CARD8
hsa-miR-16-5p	TMEM251
hsa-miR-16-5p	ANAPC16
hsa-miR-16-5p	ASXL2
hsa-miR-18a-5p	CCNL1
hsa-miR-18a-5p	IGF2BP2
hsa-miR-18a-5p	CSRNP3
hsa-miR-18a-5p	THRA
hsa-miR-18a-5p	TNFSF11
hsa-miR-125a-5p	MTUS1
hsa-miR-125a-5p	RARA
hsa-miR-195-5p	SKI
hsa-miR-195-5p	BCL2L11
hsa-miR-199a-5p	JUNB
hsa-miR-199a-3p	JUNB
hsa-miR-199a-5p	MED6
hsa-miR-199a-3p	MED6
hsa-miR-199a-5p	MECP2
hsa-miR-199a-3p	MECP2
hsa-miR-199a-3p	CCNL1
hsa-miR-199a-5p	ETS2
hsa-miR-199a-3p	ETS2
hsa-miR-200a-3p	RAB30
hsa-miR-200a-3p	PCDH8
hsa-miR-200a-3p	G3BP2
hsa-miR-200a-3p	PSMD2
hsa-miR-224-5p	PDGFRB
hsa-miR-224-5p	RAB9B
hsa-miR-34b-5p	CAV1
hsa-miR-34c-5p	CAV1
hsa-miR-34a-5p	CDC25C
hsa-miR-34a-5p	E2F5
hsa-miR-34a-5p	MDM4
hsa-miR-34a-5p	HMGA2
hsa-miR-34b-5p	MYB
hsa-miR-34c-5p	MYB
hsa-miR-34a-5p	NOTCH1
hsa-miR-34a-5p	NOTCH1
hsa-miR-34a-5p	NOTCH1
hsa-miR-34a-5p	NOTCH1
hsa-miR-34b-5p	SRSF2
hsa-miR-34c-5p	SRSF2
hsa-miR-34a-5p	CDK4
hsa-miR-34a-5p	CDK6
hsa-miR-34a-5p	CCNE2
hsa-miR-34a-5p	E2F3
hsa-miR-34a-5p	BCL2
hsa-miR-34a-5p	BCL2
hsa-miR-18a-5p	ESR1
hsa-miR-18b-5p	ESR1
hsa-miR-193b-3p	ESR1
hsa-miR-206	ESR1
hsa-miR-302c-3p	ESR1
hsa-miR-181a-5p	PLAG1
hsa-miR-181b-5p	PLAG1
hsa-miR-424-5p	PLAG1
hsa-miR-145-5p	CLINT1
hsa-miR-145-5p	PPP3CA
hsa-miR-145-5p	CBFB
hsa-miR-145-5p	YES1
hsa-miR-145-5p	YES1
hsa-miR-145-5p	STAT1
hsa-miR-155-5p	CTLA4
hsa-miR-302d-3p	TRPS1
hsa-miR-373-3p	CYB5R4
hsa-miR-375	RASD1
hsa-let-7a-5p	NRAS
hsa-let-7a-5p	KRAS
hsa-miR-205-5p	ZEB2
hsa-miR-200b-3p	ZEB2
hsa-miR-200b-3p	ZEB2
hsa-miR-200b-3p	ZEB2
hsa-miR-200b-3p	ZEB2
hsa-miR-200a-3p	ZEB2
hsa-miR-200a-3p	ZEB2
hsa-miR-200a-3p	ZEB2
hsa-miR-200a-3p	ZEB2
hsa-miR-373-3p	VPS26A
hsa-miR-373-3p	TNFAIP1
hsa-miR-373-3p	PBK
hsa-miR-200b-3p	ZEB1
hsa-miR-200b-3p	ZEB1
hsa-miR-205-5p	ZEB1
hsa-miR-373-3p	TMEM14A
hsa-miR-373-3p	TUSC2
hsa-miR-302d-3p	KLF13
hsa-miR-373-3p	FAM13B
hsa-miR-372-3p	KLF13
hsa-miR-143-3p	KRAS
hsa-miR-451a	CAB39
hsa-miR-193b-3p	CCND1
hsa-miR-106a-5p	CDKN1A
hsa-miR-106a-5p	CDKN1A
hsa-miR-155-5p	MECP2
hsa-miR-802	MECP2
hsa-miR-373-3p	TTC8
hsa-miR-155-5p	MAFB
hsa-miR-124-3p	TNFRSF21
hsa-miR-124-3p	TNFRSF21
hsa-miR-155-5p	CEBPB
hsa-miR-155-5p	CEBPB
hsa-miR-373-3p	SEPT2
hsa-miR-373-3p	KIF23
hsa-miR-373-3p	USP12
hsa-miR-373-3p	ZHX1
hsa-miR-124-3p	USP48
hsa-miR-21-5p	CDC25A
hsa-miR-21-5p	CDC25A
hsa-miR-373-3p	STK4
hsa-miR-373-3p	TBC1D2
hsa-miR-373-3p	TFAP4
hsa-miR-302d-3p	MBNL2
hsa-miR-372-3p	MBNL2
hsa-let-7c-5p	NRAS
hsa-miR-372-3p	TRPS1
hsa-miR-21-5p	PTEN
hsa-miR-21-5p	PTEN
hsa-miR-21-5p	PTEN
hsa-miR-21-5p	PTEN
hsa-miR-106a-5p	RB1
hsa-miR-106a-5p	RB1
hsa-miR-106a-5p	RB1
hsa-miR-106a-5p	RB1
hsa-miR-26b-5p	EP300
hsa-miR-194-5p	EP300
hsa-miR-374a-5p	EP300
hsa-miR-182-5p	EP300
hsa-miR-429	EP300
hsa-miR-200b-3p	EP300
hsa-miR-200c-3p	EP300
hsa-miR-137	KDM1A
hsa-miR-372-3p	NR4A2
hsa-miR-302d-3p	NR4A2
hsa-miR-19a-3p	NR4A2
hsa-miR-217	NR4A2
hsa-miR-302d-3p	ERBB4
hsa-miR-19a-3p	ERBB4
