miRNA	Target Gene  # filtered 'mus musculus' from http://mirtarbase.mbc.nctu.edu.tw/cache/download/6.1/miRTarBase_WE_MP.xls
mmu-miR-124-3p	Lig3
mmu-miR-124-3p	Fry
mmu-miR-124-3p	1700037H04Rik
mmu-miR-124-3p	Dcx
mmu-miR-124-3p	Pemt
mmu-miR-124-3p	Zfp704
mmu-miR-124-3p	Rai14
mmu-miR-124-3p	Rufy3
mmu-miR-124-3p	Ypel5
mmu-miR-124-3p	Klf13
mmu-miR-124-3p	Vps37d
mmu-miR-124-3p	Sgms1
mmu-miR-124-3p	Cxcl12
mmu-miR-124-3p	Ctnnd1
mmu-miR-124-3p	Dhrs1
mmu-miR-124-3p	Asph
mmu-miR-124-3p	Ripk1
mmu-miR-124-3p	Slc4a7
mmu-miR-124-3p	Mkx
mmu-miR-124-3p	Itga3
mmu-miR-124-3p	Arpc1b
mmu-miR-124-3p	Dtna
mmu-miR-124-3p	Mdk
mmu-miR-124-3p	Arhgef1
mmu-miR-124-3p	Scd1
mmu-miR-124-3p	Hebp2
mmu-miR-124-3p	Abhd5
mmu-miR-124-3p	Imp3
mmu-miR-124-3p	Nfic
mmu-miR-124-3p	Suclg2
mmu-miR-124-3p	Emb
mmu-miR-124-3p	Rela
mmu-miR-124-3p	Capn6
mmu-miR-124-3p	Phf17
mmu-miR-124-3p	Amotl1
mmu-miR-124-3p	Tor3a
mmu-miR-124-3p	Col4a1
mmu-miR-124-3p	Myh9
mmu-miR-124-3p	Hipk3
mmu-miR-124-3p	Dnaic1
mmu-miR-124-3p	Lor
mmu-miR-124-3p	Slc9a7
mmu-miR-124-3p	Tpm2
mmu-miR-124-3p	Vstm2l
mmu-miR-124-3p	Rad9a
mmu-miR-124-3p	Ap3s2
mmu-miR-124-3p	Sept6
mmu-miR-124-3p	Slc7a11
mmu-miR-124-3p	Entpd7
mmu-miR-124-3p	Trmt6
mmu-miR-124-3p	Ebna1bp2
mmu-miR-124-3p	Tpm4
mmu-miR-124-3p	Cbr3
mmu-miR-124-3p	Nsmf
mmu-miR-124-3p	Adssl1
mmu-miR-124-3p	Srr
mmu-miR-124-3p	Eri1
mmu-miR-124-3p	Ube2q2
mmu-miR-124-3p	Usp3
mmu-miR-124-3p	Nrep
mmu-miR-124-3p	Pip4k2b
mmu-miR-124-3p	Coa5
mmu-miR-124-3p	Gnb5
mmu-miR-124-3p	Fam181b
mmu-miR-124-3p	Serpinb6a
mmu-miR-124-3p	Dusp4
mmu-miR-124-3p	Ppp1ca
mmu-miR-124-3p	Pgrmc1
mmu-miR-124-3p	E2f1
mmu-miR-124-3p	Arl5c
mmu-miR-124-3p	Zc3hav1l
mmu-miR-124-3p	Rnf214
mmu-miR-124-3p	Scarb1
mmu-miR-124-3p	Fam49b
mmu-miR-124-3p	Atp6v0e
mmu-miR-124-3p	Tdh
mmu-miR-124-3p	Bccip
mmu-miR-124-3p	Grrp1
mmu-miR-124-3p	Pus10
mmu-miR-124-3p	Fst
mmu-miR-124-3p	Ccnb1ip1
mmu-miR-124-3p	Phox2a
mmu-miR-124-3p	Faf1
mmu-miR-124-3p	Fsd1
mmu-miR-124-3p	Gm2a
mmu-miR-124-3p	Golt1b
mmu-miR-124-3p	Pdlim7
mmu-miR-124-3p	Zbtb5
mmu-miR-124-3p	Sp4
mmu-miR-124-3p	Cnot6
mmu-miR-124-3p	Rasgrp3
mmu-miR-124-3p	Mtr
mmu-miR-124-3p	Nsun4
mmu-miR-124-3p	Cdh1
mmu-miR-124-3p	Adam17
mmu-miR-124-3p	Snta1
mmu-miR-124-3p	Plcg2
mmu-miR-124-3p	Slc35g1
mmu-miR-124-3p	Mfsd1
mmu-miR-124-3p	Elovl1
mmu-miR-124-3p	Srebf2
mmu-miR-124-3p	Klhl15
mmu-miR-124-3p	Tulp3
mmu-miR-124-3p	Ebf3
mmu-miR-124-3p	Cd151
mmu-miR-124-3p	Acaa2
mmu-miR-124-3p	Slc35a4
mmu-miR-124-3p	Vamp4
mmu-miR-124-3p	Rab11a
mmu-miR-124-3p	Cc2d1b
mmu-miR-124-3p	Reep1
mmu-miR-124-3p	Plekhf2
mmu-miR-124-3p	Raver2
mmu-miR-124-3p	Tpd52l2
mmu-miR-124-3p	Flot2
mmu-miR-124-3p	Ccnd2
mmu-miR-124-3p	Itpr3
mmu-miR-124-3p	Ascc2
mmu-miR-124-3p	Sept10
mmu-miR-124-3p	Zcchc18
mmu-miR-124-3p	Ssbp2
mmu-miR-124-3p	Sp8
mmu-miR-124-3p	Timp3
mmu-miR-124-3p	Atp6v0e2
mmu-miR-124-3p	Cntn2
mmu-miR-124-3p	Ephx2
mmu-miR-124-3p	Wdr34
mmu-miR-124-3p	Man1b1
mmu-miR-124-3p	0610007P14Rik
mmu-miR-124-3p	Rabl2
mmu-miR-124-3p	Myo1d
mmu-miR-124-3p	Zfp536
mmu-miR-124-3p	Mpzl2
mmu-miR-124-3p	Kctd12b
mmu-miR-124-3p	Myl4
mmu-miR-124-3p	Hspbap1
mmu-miR-124-3p	Poglut1
mmu-miR-124-3p	Tcf7l2
mmu-miR-124-3p	Msantd4
mmu-miR-124-3p	Dclk1
mmu-miR-124-3p	Faim
mmu-miR-124-3p	Upp1
mmu-miR-124-3p	Glipr2
mmu-miR-124-3p	Pcdhb22
mmu-miR-124-3p	Utf1
mmu-miR-124-3p	Mxra7
mmu-miR-124-3p	Fzd10
mmu-miR-124-3p	Ppp1r1a
mmu-miR-124-3p	Mtmr10
mmu-miR-124-3p	Rragb
mmu-miR-124-3p	Vstm2b
mmu-miR-124-3p	Smap1
mmu-miR-124-3p	Ints9
mmu-miR-124-3p	Ddc
mmu-miR-124-3p	Syt9
mmu-miR-124-3p	Lhx5
mmu-miR-124-3p	Pip4k2c
mmu-miR-124-3p	Slc7a6
mmu-miR-124-3p	Hira
mmu-miR-124-3p	Trerf1
mmu-miR-124-3p	Tmod3
mmu-miR-124-3p	Smarcb1
mmu-miR-124-3p	Sypl2
mmu-miR-124-3p	Pfn2
mmu-miR-124-3p	Apba3
mmu-miR-124-3p	Atp7a
mmu-miR-124-3p	Tfap2d
mmu-miR-124-3p	Nup107
mmu-miR-124-3p	Zfp46
mmu-miR-124-3p	Elavl3
mmu-miR-124-3p	Irx3
mmu-miR-124-3p	Whsc1
mmu-miR-124-3p	Kcnh2
mmu-miR-124-3p	Cbln1
mmu-miR-124-3p	Map2k3
mmu-miR-124-3p	Ifrd2
mmu-miR-124-3p	Dnmt3b
mmu-miR-124-3p	Smc2
mmu-miR-124-3p	Axin2
mmu-miR-124-3p	Eci1
mmu-miR-124-3p	Peli1
mmu-miR-124-3p	Stk10
mmu-miR-124-3p	Rhpn2
mmu-miR-124-3p	Fign
mmu-miR-124-3p	Pml
mmu-miR-124-3p	Skp2
mmu-miR-124-3p	Reep3
mmu-miR-124-3p	Tmed1
mmu-miR-124-3p	Crat
mmu-miR-124-3p	Cdc14b
mmu-miR-124-3p	Nme4
mmu-miR-124-3p	Itfg3
mmu-miR-124-3p	Gnaq
mmu-miR-124-3p	Cmtm6
mmu-miR-124-3p	Tjp2
mmu-miR-124-3p	Sdf2l1
mmu-miR-124-3p	Bicd2
mmu-miR-124-3p	Gstt3
mmu-miR-124-3p	Gstk1
mmu-miR-124-3p	Ogfod3
mmu-miR-124-3p	Svil
mmu-miR-124-3p	Iqgap1
mmu-miR-124-3p	Evi5
mmu-miR-124-3p	Litaf
mmu-miR-124-3p	Pea15a
mmu-miR-124-3p	Pcdh1
mmu-miR-124-3p	Lrrn2
mmu-miR-124-3p	B3gnt5
mmu-miR-124-3p	Klf5
mmu-miR-124-3p	Cdc42ep3
mmu-miR-124-3p	Nsdhl
mmu-miR-124-3p	Zcchc24
mmu-miR-124-3p	Brip1
mmu-miR-124-3p	Cnih3
mmu-miR-124-3p	Pik3r3
mmu-miR-124-3p	Kcnab2
mmu-miR-124-3p	Timm9
