Official Symbol Interactor A	Official Symbol Interactor B
EP400	TRRAP
EP400	RUVBL2
EP400	RUVBL1
HDAC1	MBD2
SMARCB1	SS18
SMARCB1	ARID1A
SMARCB1	ARID1B
HDAC2	CHD4
HDAC2	KDM1A
HDAC2	HDAC1
HDAC2	RBBP4
NCOA6	PRKDC
NCOA6	XRCC5
NCOA6	XRCC6
FGF1	CSNK2B
MAML1	EP300
FASLG	FNBP1
FASLG	PACSIN2
DLG4	ADAM22
DLG4	LGI1
ADAM22	DLG4
ADAM22	LGI1
MED10	MED17
MED10	MED6
MED10	MED8
MED10	MED19
MED10	MED18
MED10	MED22
MED10	MED11
GRB2	SHC1
GRB2	SOS1
GRB2	VAV2
GRB2	VAV3
GRB2	IQGAP1
GRB2	EGFR
GRB2	KRT8
GRB2	KRT17
CFL1	CAP1
CFL1	ACTA1
SMN1	GEMIN5
DDX20	GEMIN5
POLR2A	TCERG1
CRMP1	DPYSL2
CSTF2	CSTF3
CSTF2	CSTF1
CSTF2	SYMPK
CSTF2	CPSF1
CSTF2	CPSF2
SHC1	INPPL1
CTCF	YBX1
FGF1	HSPA9
MSTN	FSTL3
SSB	NCL
SAP30	HDAC1
SAP30	HDAC2
SAP30	RBBP4
SAP30	RBBP7
SAP30	ING1
SAP30	SIN3A
ING1	SMARCA4
ING1	SMARCC1
ING1	HDAC1
ING1	HDAC2
ING1	RBBP7
ING1	RBBP4
ING1	SAP30
TNFSF14	TRAF3
TNFSF14	BIRC2
TNFSF14	TRAF2
JUN	DDX21
PIM1	HSP90AA1
PRDX6	NCF2
ATR	ATRIP
TAL1	TCF3
TAL1	TCF12
TAL1	TCF4
TAL1	LMO2
TAL1	GATA1
TAL1	SSBP2
TAL1	SSBP3
TAL1	CBFA2T3
TAL1	HDAC1
TAL1	HDAC2
TAL1	LDB1
BICD2	DYNC1H1
SMAD4	SKIL
SMAD4	SKI
NUP133	NUP107
NUP133	NUP98
YWHAQ	YAP1
EIF3E	EIF3A
XIAP	DIABLO
RBX1	CUL7
RBX1	CUL2
RBX1	CUL4A
RBX1	CUL4B
RBX1	NEDD8
RBX1	CUL1
RBX1	CUL3
RBX1	FBXO3
CUL4A	HSPA1A
CUL4A	HSP90AA1
CUL4A	NEDD8
RPTOR	MTOR
RPTOR	MTOR
MAPKAP1	MTOR
RICTOR	MTOR
FNIP1	HSP90AA1
FNIP1	PRKAG1
TSC1	TSC2
RPS6KB1	EIF3F
MTOR	RPTOR
MTOR	RPTOR
MTOR	MLST8
RICTOR	MAPKAP1
FLCN	FNIP1
FNIP1	FLCN
MAPKAP1	RICTOR
PRKCE	COPB2
PRKCE	KRT1
PRKCE	MYH9
PRKCE	ACTA1
YWHAH	KIF5B
YWHAH	KLC3
CDK8	MED13
CDK8	MED12
CDK8	MED1
CDK8	MED14
CDK8	MED24
CDK8	MED16
CDK8	MED17
CDK8	MED6
CDK8	MED31
CDK8	MED21
CDK8	MED10
THRA	MED12
THRA	MED16
THRA	MED6
VDR	MED13
VDR	MED12
VDR	MED1
VDR	MED14
VDR	MED6
VDR	MED24
VDR	MED16
PPP4C	DHX38
PPP4C	SMEK1
PPP4C	CCT2
PPP4C	PPP4R2
PPP4C	TCP1
PPP4C	CCT5
PPP4C	CCT3
PPP4C	CCT6A
PPP4C	SMEK2
PPP4C	CCT4
PPP4C	IGBP1
PPP4C	PPP4R1
PPP4C	CCT7
PPP4C	CCDC6
PPP4C	PPP4R4
PPP4C	PPP2R1A
PPP4C	PPP2R5D
CTTNBP2	STRN
CTTNBP2	STRN3
CTTNBP2	STK26
CTTNBP2	CTTNBP2NL
CTTNBP2NL	PPP2R1A
CTTNBP2NL	PPP2CA
CTTNBP2NL	STRN
CTTNBP2NL	STRIP1
CTTNBP2NL	STRN3
CTTNBP2NL	STRN4
CTTNBP2NL	STK24
CTTNBP2NL	MOB4
CTTNBP2NL	PDCD10
STRIP1	PPP2R1A
STRIP1	PPP2CA
STRIP1	STRN
STRIP1	STRN3
STRIP1	STK26
STRIP1	STRN4
STRIP1	PDCD10
STRIP1	CTTNBP2NL
STRIP1	SIKE1
STRIP1	SLMAP
STRIP1	FGFR1OP2
MOB4	PPP2R1A
MOB4	PPP2CA
MOB4	STRN
MOB4	STRN3
MOB4	STK26
MOB4	STRN4
MOB4	STK25
MOB4	STK24
MOB4	CTTNBP2NL
MOB4	SIKE1
MOB4	SLMAP
MOB4	FGFR1OP2
PDCD10	STRN
PDCD10	STRIP1
PDCD10	STRN3
PDCD10	STK26
PDCD10	STRN4
PDCD10	STK25
PDCD10	STK24
PDCD10	CTTNBP2NL
PDCD10	SIKE1
PDCD10	SLMAP
PDCD10	FGFR1OP2
PPP2CA	PPP2R1A
PPP2CA	PPP2R2A
PPP2CA	STRN
PPP2CA	STRIP1
PPP2CA	STRN3
PPP2CA	PPP2R5D
PPP2CA	PPP2R1B
PPP2CA	STRN4
PPP2CA	PPP2R5C
PPP2CA	PPP2R2D
PPP2CA	MOB4
PPP2CA	PPME1
PPP2CA	CTTNBP2NL
PPP2CA	PPP2R5E
PPP2CA	PPFIA1
PPP2CA	IGBP1
PPP2CA	CCT2
PPP2CA	CCT8
PPP2CA	CCT3
PPP2CA	TCP1
PPP2CA	CCT5
PPP2CA	CCT6A
PPP2CA	CCT7
PPP2CA	PPFIA3
PPP2CA	PPP2R5A
PPP2CA	CCT4
PPP2CA	PPP2R3B
PPP2CA	FGFR1OP
PPP2CA	PPP2R5B
PPP2R1A	PPP2CA
PPP2R1A	PPP2R2A
PPP2R1A	STRN
PPP2R1A	STRIP1
PPP2R1A	STRN3
PPP2R1A	PPP2R5D
PPP2R1A	PPP2R1B
PPP2R1A	STRN4
PPP2R1A	PPP2R5C
PPP2R1A	PPP2R2D
PPP2R1A	PPME1
PPP2R1A	CTTNBP2NL
PPP2R1A	PPP2R5E
PPP2R1A	PPFIA1
PPP2R1A	PPP2R5A
PPP2R1A	PPP2R3B
STK26	PPP2R1A
STK26	PPP2CA
STK26	STRN
STK26	STRIP1
STK26	STRN3
STK26	STRN4
STK26	MOB4
STK26	PDCD10
STK26	CTTNBP2NL
STK26	SIKE1
STK26	STRIP2
STK26	SLMAP
STK26	CTTNBP2
STK26	FGFR1OP2
SIKE1	PPP2R1A
SIKE1	PPP2CA
SIKE1	STRN
SIKE1	STRIP1
SIKE1	STRN3
SIKE1	STRN4
SIKE1	STK24
SIKE1	MOB4
SIKE1	PDCD10
SIKE1	STRIP2
SIKE1	SLMAP
SIKE1	FGFR1OP2
STK24	PPP2R1A
STK24	PPP2CA
STK24	STRN
STK24	STRIP1
STK24	STRN3
STK24	PPP2R1B
STK24	STRN4
STK24	MOB4
STK24	PDCD10
STK24	CTTNBP2NL
STK24	SIKE1
STK24	STRIP2
STK24	SLMAP
STK24	CTTNBP2
STK24	FGFR1OP2
STK25	PPP2R1A
STK25	PPP2CA
STK25	STRN
STK25	STRIP1
STK25	STRN3
STK25	PPP2R1B
STK25	STRN4
