source target sign
7124 55072 -
855618 850450 +
852322 853997 +
852322 852042 +
852322 852322 -
851265 855965 +
851265 850702 +
851265 856519 -
851561 850540 -
851561 855099 +
851561 855013 +
9113 6788 -
9113 27429 +
853290 856862 +
27339 10181 +
27339 27339 +
3658 26234 -
2885 29760 +
2885 1441 -
2885 10818 -
2885 51517 +
2885 10657 -
2885 147179 +
2885 50807 -
2885 2549 -
2885 1956 -
2885 1759 +
2885 10188 -
2885 5747 +
2885 868 +
2885 5781 +
2885 10451 +
2885 2064 +
2885 8976 -
2885 8751 -
5641 7189 +
1869 5933 +
1869 5925 +
1869 11073 -
1869 5245 -
850409 853191 +
850409 856891 +
851363 854659 -
55802 1656 +
55802 4089 -
850872 855599 +
850872 856471 +
850872 850298 -
852100 851576 -
852100 855067 +
852100 852258 +
852100 856680 -
852575 854435 -
852575 851557 +
852575 852834 -
852575 854284 +
852575 851461 -
852575 853712 +
852575 852003 +
856876 850966 -
856876 850543 -
856876 852567 +
856876 854256 +
856876 855012 +
856876 856753 -
850455 856186 -
850455 851212 -
850455 855428 +
850455 856799 +
850455 853035 +
850455 854773 -
853300 853275 -
851731 856508 -
853191 855276 +
853191 854875 +
853191 852766 -
853191 854993 -
853397 855417 -
23013 3516 +
853318 855575 +
855821 854017 +
855821 851723 -
855821 856060 +
855821 852059 +
855821 855263 +
855821 855276 +
855821 850744 +
855821 852373 +
855821 856499 -
855821 852001 -
855821 852814 -
855532 856087 -
855532 851061 -
855532 852612 +
855532 854828 -
854956 855281 -
854956 855888 -
1848 5594 -
1848 5595 +
851097 854827 +
851424 854133 +
851996 855136 +
851996 853545 -
851996 856301 -
851996 855630 -
851996 855230 +
851996 851996 +
851996 854353 -
852239 856218 +
64421 5591 -
851140 856422 +
7979 55795 -
7979 5709 +
7979 5717 +
7979 675 +
854383 850803 -
10670 58528 -
3678 2335 +
3678 3688 -
856254 855621 -
856254 852100 +
853385 855066 -
853385 853409 +
853385 854691 +
856255 850422 +
856571 852611 +
856571 850597 -
856571 851847 -
856571 853846 -
23199 3065 +
855506 852728 +
163882 5501 -
852664 852763 +
6789 11186 -
6789 23291 -
6789 60485 +
6789 6788 -
6789 9770 -
6789 6789 -
84108 6045 -
7375 5925 -
7375 9129 -
7375 9733 -
7375 5932 -
851250 850909 +
851250 851250 +
853320 856604 +
852373 1466445 -
852373 854017 -
852373 856709 +
852373 850347 +
852373 856499 -
852373 852001 +
852373 852814 -
79155 7128 +
853264 855757 +
853264 856360 -
853264 852592 -
58160 7024 -
855407 852457 +
854221 855514 +
853576 851197 +
853576 855843 +
851447 854138 -
851447 851874 +
851447 853109 +
855068 856723 -
855068 856012 +
855068 854446 -
580 580 -
580 7321 +
580 7323 +
580 5932 -
580 672 +
580 1477 +
580 1478 -
55832 8454 +
55832 9978 +
55832 8450 -
55832 84259 -
55832 8451 +
55832 8065 +
55832 8453 -
55215 2177 +
855965 855700 +
855965 850702 -
855965 853851 -
855965 853478 -
852576 851431 +
856749 852763 +
6605 2099 +
6605 6604 +
6605 6602 -
6605 6597 -
6605 6599 +
6605 6595 +
852334 856870 +
1386 3725 -
1386 1432 +
1386 1387 -
1386 2353 -
854778 853688 -
853970 852755 +
852097 850878 -
853641 856870 +
4439 25 +
4439 4438 -
79184 51720 -
79184 672 +
5591 7157 -
5591 7520 -
5591 6118 -
5591 2547 -
5591 207 -
850397 852549 -
850397 851388 +
10318 5594 +
856760 856559 -
7249 51256 +
7249 10971 +
7249 7248 +
23451 23450 +
9857 11116 -
856696 850520 -
4605 286826 -
4605 132660 -
51729 5499 +
855449 852618 +
855426 853531 +
855426 855102 +
855426 856920 -
856169 851906 -
856169 852071 +
27250 23291 +
27250 8945 -
852060 851125 -
852060 850422 +
852060 854487 -
852060 852549 -
852060 856267 +
855139 852555 +
855139 852996 -
855139 856743 -
853090 854827 +
853090 856089 -
855952 850623 +
855843 854827 +
855843 851197 +
10765 3065 -
9821 55054 -
856604 851678 +
856604 850796 +
856604 856485 +
856604 855972 -
856604 852995 +
856604 850435 +
856604 851419 +
856604 856012 -
856604 853160 +
856604 856126 +
856604 851336 +
856604 855789 +
854519 853526 +
854519 855473 +
854519 854518 -
854519 856119 +
850920 856219 +
867 4067 +
867 5296 +
867 10603 +
867 25 -
867 1399 +
867 4233 +
867 6714 -
867 4690 +
867 84174 +
867 5335 -
867 695 +
867 53347 +
867 6464 -
867 10971 -
867 867 +
867 5295 +
867 10253 -
867 1956 +
867 7535 -
867 2885 -
855269 852995 +
855269 856449 -
855269 854487 -
855269 851632 +
855269 854078 -
855269 856267 -
84893 6500 -
64708 8451 -
64708 10987 +
64708 10980 -
64708 8533 +
855460 850656 +
855460 856291 +
4289 10048 +
348995 23279 +
5170 5590 +
6314 2648 -
9229 1739 +
23741 2033 +
23741 23014 +
856237 852457 +
856237 850768 +
83987 1432 +
22848 1173 -
2177 2178 +
2177 675 +
2177 22909 +
23118 7316 -
