Entrez Gene Interactor A	Entrez Gene Interactor B
64326	2118
5292	6502
997	9978
5292	991
6502	991
6502	5292
6714	999
6714	79872
999	79872
1728	10273
5071	55669
5071	9927
3480	820
4792	5970
1452	10892
1452	8915
5970	4792
8915	10892
9320	1029
1029	9320
9320	4609
3659	10273
4087	2099
57154	2099
2099	4087
2099	57154
4087	57154
891	983
1840	4851
7157	9100
9100	7157
4193	5708
4193	5710
4193	5702
4193	5705
4846	801
801	4846
4287	10273
64750	3397
64750	3399
29945	25906
29945	996
29945	8881
29945	51434
29945	51529
991	4085
991	9184
672	9656
672	51720
51720	9656
51720	672
9656	51720
9656	672
9656	3014
3091	405
1540	10133
10133	8737
1540	8737
182	57534
55737	253725
51699	9779
253725	23325
23325	100287171
9897	23325
9897	253725
9897	100287171
4690	5921
5921	4690
10413	8945
8945	10413
51366	7157
7157	51366
8337	27000
8337	6045
8337	648
3066	6667
1108	3065
4609	2648
23411	6927
6927	23411
4193	26354
4193	54552
26354	4193
54552	4193
7157	4193
7132	8737
8517	7316
8517	8737
7520	11177
7520	2547
10782	10155
10155	10782
3091	7428
1500	1000
7015	4193
4193	7015
7157	7874
1956	10188
10188	4734
10188	2885
10188	998
9100	1080
6259	57534
57534	6259
56957	11315
11315	56957
5580	6667
6667	5580
6667	3066
3315	2539
2539	3315
10524	6427
207	1786
1786	207
26013	4171
26013	4173
4171	26013
1029	4193
898	1017
898	1027
1019	595
1019	1027
26168	3320
3320	26168
7187	329
7187	330
7189	329
7189	330
2623	3315
3315	2623
6497	4087
6497	25942
7157	23411
5926	8819
5926	25942
5926	5925
55611	7187
55611	7189
78990	7189
5111	6117
5111	7515
5111	51426
5111	5424
7515	3980
51426	6117
51426	5111
5111	5426
10617	8027
10617	10254
10617	2885
9627	5071
7332	5071
7325	5071
8517	10318
11279	142
142	11279
51377	3309
3309	51377
26147	2146
26147	8726
4170	10075
4170	8239
409	5071
8239	4170
10075	8239
10075	4170
408	5071
409	4193
2064	3308
2064	3320
2099	3308
2099	3320
8678	7189
8678	8678
112399	27339
27339	112399
27339	27339
7157	3308
55139	7415
80700	7415
165918	8338
2146	983
983	2146
2146	23512
2146	8726
1956	867
4914	867
10277	4193
4193	10277
10277	7157
7157	10277
7157	4193
983	2146
3320	613
3320	25
80762	5728
54602	4067
147040	8452
85409	1855
6667	4613
867	1956
2885	1956
2885	867
10253	867
