source target
PHAL 	 PVQL        
PHAL 	 PVCL        
PHAL 	 AVAL        
PHAL 	 PDB         
PHAL 	 R5BR        
PHAL 	 R7BL        
PHAL 	 PVV         
PHAR 	 PHAL        
PHAR 	 PHBR        
PHAR 	 AVFL        
PHAR 	 AVG         
PHAR 	 AVHL        
PHAR 	 AVHR        
PHAR 	 PVQR        
PHAR 	 PVCR        
PHAR 	 R9BL        
PHAR 	 PCAL        
PHAR 	 EF2         
PHBL 	 PHAL        
PHBL 	 PHBR        
PHBL 	 PVY         
PHBR 	 PHAR        
PHBR 	 PHBL        
PHBR 	 AVHR        
PHBR 	 PVQR        
PHBR 	 PDB         
PHBR 	 PVY         
PHBR 	 EF1         
PHBR 	 EF2         
PHCL 	 PVWL        
PHCL 	 PVWR        
PHCL 	 PVCR        
PHCL 	 R9AL        
PHCR 	 PLMR        
PHCR 	 PVQR        
PHCR 	 PVWR        
PHCR 	 PVCR        
AIAL 	 ADFL        
AIAL 	 AWAL        
AIAR 	 ASIR        
AIAR 	 AWAR        
AIBL 	 RIGR        
AIBR 	 AIZL        
AIBR 	 RIGL        
AIBR 	 RIML        
AIBR 	 RMEV        
AIBR 	 RIVR        
AIYL 	 CEPVL       
AIYR 	 SIAVR       
AIZL 	 AWAL        
AIZL 	 AIBR        
AIZL 	 AIZR        
AIZL 	 RIML        
AIZR 	 AIZL        
ADAL 	 ADFL        
ADAL 	 RIML        
AIML 	 ASGL        
AIML 	 ASKL        
AIMR 	 ASIR        
AIMR 	 ASJR        
AIMR 	 ASKR        
ALA 	 URXL        
ALA 	 RID         
RIAL 	 RIAR        
RIAL 	 SAAVR       
RIAR 	 RIAL        
RIAR 	 AVEL        
RIAR 	 SIAVR       
RIAR 	 SMBDR       
RIBL 	 RIBR        
RIBL 	 RIGL        
RIBL 	 AVL         
RIBL 	 DVC         
RIBL 	 AVBL        
RIBL 	 RMDR        
RIBL 	 SIBDL       
RIBL 	 SMDDL       
RIBL 	 SMDVR       
RIBR 	 OLQVR       
RIBR 	 RIBL        
RIBR 	 RIBR        
RIBR 	 AVBR        
RIBR 	 RMDDL       
RIBR 	 RMER        
RIBR 	 RMHL        
RIBR 	 SIBDR       
RIBR 	 SMDDR       
RIBR 	 SMDVL       
RICL 	 ASHL        
RICL 	 AVKL        
RICL 	 AVKR        
RICL 	 CEMVR       
RICR 	 AVKL        
RICR 	 AVKR        
RIFL 	 RIML        
RIGL 	 OLQVL       
RIGL 	 OLLL        
RIGL 	 AIBR        
RIGL 	 RIBL        
RIGL 	 RIGR        
RIGL 	 AVKL        
RIGL 	 CEMVL       
RIGR 	 OLQVR       
RIGR 	 OLLR        
RIGR 	 URYDR       
RIGR 	 AIBL        
RIGR 	 RIGL        
RIGR 	 SIBVR       
RIGR 	 CEMVR       
RIH 	 ADFR        
RIH 	 CEPDR       
RIH 	 CEPVL       
RIH 	 CEPVR       
RIH 	 FLPL        
RIH 	 ADER        
RIR 	 BAGL        
RIR 	 AVL         
RIR 	 CEMVL       
RIS 	 RIML        
RIS 	 RIMR        
RIS 	 RMEV        
RIS 	 SMDVL       
RMFR 	 URXR        
RMFR 	 RIMR        
RMGL 	 ASKL        
RMGL 	 AWBL        
RMGL 	 IL2L        
RMGL 	 URXL        
RMGL 	 RMGL        
RMGL 	 RMHL        
RMGR 	 ADLR        
RMGR 	 IL2R        
RMGR 	 URXR        
RMGR 	 RMHL        
RMGR 	 RMHR        
URBL 	 IL1L        
URBL 	 IL2L        
RIPR 	 ADFR        
AVFL 	 ASKL        
AVFL 	 PHAR        
AVFL 	 AVFR        
AVFL 	 AVG         
AVFL 	 DVA         
AVFL 	 PVNL        
AVFL 	 PVNR        
AVFL 	 PVPR        
AVFL 	 PVCR        
AVFL 	 DA09        
AVFL 	 R1BR        
AVFL 	 R3BR        
AVFL 	 R7BR        
AVFL 	 R8AR        
AVFL 	 PVX         
AVFR 	 PQR         
AVFR 	 PHAL        
AVFR 	 AVFL        
AVFR 	 PVNL        
AVFR 	 PVNR        
AVFR 	 VA11        
AVG 	 PVDL        
AVG 	 PQR         
AVG 	 PHAR        
AVG 	 AVFL        
AVG 	 AVG         
AVG 	 AVHL        
AVG 	 AVJL        
AVG 	 AVJR        
AVG 	 AVL         
AVG 	 DVA         
AVG 	 DVB         
AVG 	 PVNL        
AVG 	 PVNR        
AVG 	 PVPL        
AVG 	 PVQR        
AVG 	 PVCR        
AVG 	 AVBL        
AVG 	 AVBR        
AVG 	 DA09        
AVG 	 PDA         
AVG 	 VD13        
AVG 	 hyp         
AVG 	 R1BR        
AVG 	 HOA         
AVG 	 PCAL        
AVG 	 PCBL        
AVG 	 PVX         
AVG 	 PVZ         
AVG 	 DVE         
AVG 	 DVF         
AVG 	 EF1         
AVG 	 EF2         
